1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000063487541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jul 07 09:54:01 UTC 2020
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 17 09:34:01 UTC 2020
Total Mission Samples:  7950
Total Device Samples:  44158
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2020/08/17 10:14:01 AM,C,25.383
2020/08/17 10:24:01 AM,C,25.383
2020/08/17 9:34:01 AM,C,25.383
2020/08/17 9:44:01 AM,C,25.383
2020/08/17 9:54:01 AM,C,25.383
2020/08/17 10:04:01 AM,C,25.383
2020/08/17 10:34:01 AM,C,25.383
2020/08/17 10:44:01 AM,C,25.383
2020/08/17 10:54:01 AM,C,25.383
2020/08/17 11:04:01 AM,C,25.383
2020/08/17 11:14:01 AM,C,25.383
2020/08/17 11:24:01 AM,C,25.383
2020/08/17 11:34:01 AM,C,25.383
2020/08/17 11:44:01 AM,C,25.32
2020/08/17 11:54:01 AM,C,25.32
2020/08/17 12:04:01 PM,C,25.383
2020/08/17 12:14:01 PM,C,25.383
2020/08/17 12:24:01 PM,C,25.383
2020/08/17 12:34:01 PM,C,25.383
2020/08/17 12:44:01 PM,C,25.383
2020/08/17 12:54:01 PM,C,25.383
2020/08/17 1:04:01 PM,C,25.383
2020/08/17 1:14:01 PM,C,25.445
2020/08/17 1:24:01 PM,C,25.445
2020/08/17 1:34:01 PM,C,25.445
2020/08/17 1:44:01 PM,C,25.445
2020/08/17 1:54:01 PM,C,25.445
2020/08/17 2:04:01 PM,C,25.508
2020/08/17 2:14:01 PM,C,25.57
2020/08/17 2:24:01 PM,C,25.57
2020/08/17 2:34:01 PM,C,25.57
2020/08/17 2:44:01 PM,C,25.633
2020/08/17 2:54:01 PM,C,25.633
2020/08/17 3:04:01 PM,C,25.633
2020/08/17 3:14:01 PM,C,25.633
2020/08/17 3:24:01 PM,C,25.633
2020/08/17 3:34:01 PM,C,25.695
2020/08/17 3:44:01 PM,C,25.695
2020/08/17 3:54:01 PM,C,25.695
2020/08/17 4:04:01 PM,C,25.695
2020/08/17 4:14:01 PM,C,25.695
2020/08/17 4:24:01 PM,C,25.695
2020/08/17 4:34:01 PM,C,25.758
2020/08/17 4:44:01 PM,C,25.758
2020/08/17 4:54:01 PM,C,25.758
2020/08/17 5:04:01 PM,C,25.758
2020/08/17 5:14:01 PM,C,25.758
2020/08/17 5:24:01 PM,C,25.758
2020/08/17 5:34:01 PM,C,25.758
2020/08/17 5:44:01 PM,C,25.758
2020/08/17 5:54:01 PM,C,25.758
2020/08/17 6:04:01 PM,C,25.695
2020/08/17 6:14:01 PM,C,25.695
2020/08/17 6:24:01 PM,C,25.695
2020/08/17 6:34:01 PM,C,25.695
2020/08/17 6:44:01 PM,C,25.695
2020/08/17 6:54:01 PM,C,25.695
2020/08/17 7:04:01 PM,C,25.695
2020/08/17 7:14:01 PM,C,25.695
2020/08/17 7:24:01 PM,C,25.695
2020/08/17 7:34:01 PM,C,25.695
2020/08/17 7:44:01 PM,C,25.633
2020/08/17 7:54:01 PM,C,25.633
2020/08/17 8:04:01 PM,C,25.633
2020/08/17 8:14:01 PM,C,25.633
2020/08/17 8:24:01 PM,C,25.633
2020/08/17 8:34:01 PM,C,25.633
2020/08/17 8:44:01 PM,C,25.633
2020/08/17 8:54:01 PM,C,25.633
2020/08/17 9:04:01 PM,C,25.633
2020/08/17 9:14:01 PM,C,25.695
2020/08/17 9:24:01 PM,C,25.695
2020/08/17 9:34:01 PM,C,25.695
2020/08/17 9:44:01 PM,C,25.695
2020/08/17 9:54:01 PM,C,25.695
2020/08/17 10:04:01 PM,C,25.695
2020/08/17 10:14:01 PM,C,25.695
